temp,dataset,model,harness,method,speedup,tau,tps,n
1.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,4.675907207109762,5.808690485039526,70.62252049880793,30.0
1.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.218946911229853,6.63490355006076,80.01678589599963,50.0
1.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.032665913619469,6.340557898388033,77.4416244113248,50.0
1.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,6.160945736856432,7.626810505745143,94.13535715194634,50.0
1.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,3.589370524515657,4.5595418103449985,55.391872828653824,100.0
1.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,2.892471734969569,3.7142853608625,45.43222988905493,50.0
1.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.2056249689349805,6.656881304627652,80.64981872857987,50.0
1.0,math500,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.907209339199402,7.412252910528496,91.2633307999487,50.0
1.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,4.734621328696153,5.91099989233642,71.50930868164431,30.0
1.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.061357899516627,6.4618441757742815,77.6006344339707,50.0
1.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,4.991140136231742,6.259890950537017,76.80263431918577,50.0
1.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,6.1814911115539255,7.689868476909343,94.4492774926822,50.0
1.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,3.5700872358863958,4.544275103282685,55.09428932085634,100.0
1.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,2.865392500789924,3.679204723096605,45.006894706831574,50.0
1.0,gsm8k,Qwen3-8B,domino_official,Domino,5.9885681234379335,8.041268324984577,100.61250642547155,49.0
1.0,math500,Qwen3-8B,domino_official,Domino,5.654851669815226,7.313509556160583,93.18901949390606,49.0
1.0,aime25,Qwen3-8B,domino_official,Domino,3.4542484403675178,4.652569980010793,57.24145930876309,29.0
1.0,humaneval,Qwen3-8B,domino_official,Domino,4.5096915554653565,6.02104652539384,75.60650741713847,49.0
1.0,mbpp,Qwen3-8B,domino_official,Domino,4.432173545327918,5.926247852595767,74.98773442082972,49.0
1.0,livecodebench,Qwen3-8B,domino_official,Domino,5.358042224101645,6.789623758800512,87.26370182153326,49.0
1.0,mt-bench,Qwen3-8B,domino_official,Domino,3.1656800009655393,4.148515862201476,52.35743029754075,98.0
1.0,alpaca,Qwen3-8B,domino_official,Domino,2.5023385033544288,3.337570120192149,41.92560711491614,49.0
1.0,gsm8k,Qwen3-8B,dominotree,DominoTree (16),6.071541922499088,8.915416075198225,102.00652945720648,50.0
1.0,math500,Qwen3-8B,dominotree,DominoTree (16),5.521508715796818,7.721158497351225,90.99159684394954,50.0
1.0,aime25,Qwen3-8B,dominotree,DominoTree (16),4.0705602612727745,5.778106956530172,67.45456025586938,30.0
1.0,humaneval,Qwen3-8B,dominotree,DominoTree (16),4.882552125740675,6.914585540734956,81.8576412530911,50.0
1.0,mbpp,Qwen3-8B,dominotree,DominoTree (16),4.6464389734142,6.809971535271569,78.61288105657835,50.0
1.0,livecodebench,Qwen3-8B,dominotree,DominoTree (16),5.43870254282064,7.546243749651796,88.57737530657273,50.0
1.0,mt-bench,Qwen3-8B,dominotree,DominoTree (16),3.5612885002300514,5.021017453379453,58.90043035409696,100.0
1.0,alpaca,Qwen3-8B,dominotree,DominoTree (16),2.8949767804589355,4.212083170552343,48.50409284819885,50.0
